dataset,backbone,condition,seed,n_folds,status,primary_log_loss,primary_auc,primary_brier,primary_ece,primary_n,secondary_log_loss,secondary_auc,secondary_brier,secondary_ece,secondary_n
xes3g5m,SAKT,Random-Scalar,42,5,ok,0.5015434741015649,0.6940935704528637,0.16323937558426901,0.02191633878008355,222044,0.49645202236407726,0.6946941755722889,0.16119176026700643,0.01809161128241091,231280
xes3g5m,SAKT,Random-Scalar,123,5,ok,0.5026075568383839,0.6930199697939277,0.16366788678997995,0.026829728945635845,222044,0.4974246854610867,0.6935743226566273,0.16157937219375182,0.022947966775607894,231280
xes3g5m,SAKT,Random-Scalar,456,5,ok,0.505011400337774,0.6924723885905852,0.16454815624948932,0.03612554103492546,222044,0.49959505236221446,0.6929831881577329,0.1623650750182533,0.03231826860268233,231280
xes3g5m,SAKT,Random-Scalar,789,5,ok,0.5024019266072435,0.6919836568858901,0.1636734136800388,0.017340403911864404,222044,0.49748890560246123,0.6924313181376018,0.1616923197093247,0.013924358132936741,231280
xes3g5m,SAKT,Random-Scalar,2024,5,ok,0.5016070671187626,0.6948646860348282,0.1633958601349679,0.025907938267770363,222044,0.49647221790204266,0.6953683156425953,0.16131170298949632,0.022027726731331063,231280
xes3g5m,SAKT,Standard,42,5,ok,0.5051594131269341,0.6918593945281898,0.16459409732510305,0.03622555409328556,222044,0.4997435747783903,0.6923261787781221,0.16241004997459077,0.032374743982860874,231280
xes3g5m,SAKT,Standard,123,5,ok,0.5002879233103846,0.6945170852712047,0.16287699000508046,0.01622694176565447,222044,0.49540290836090295,0.6950190935240597,0.16089092552024245,0.012273143144374069,231280
xes3g5m,SAKT,Standard,456,5,ok,0.5027179187437342,0.6922753196321367,0.1637748711273091,0.02441082907525967,222044,0.4975956115009511,0.6927706525531654,0.16169023297631793,0.020590974960446536,231280
xes3g5m,SAKT,Standard,789,5,ok,0.5012406574662908,0.6946652150110113,0.163165279289951,0.02164872141421036,222044,0.49618827954290445,0.6951931926144221,0.16113271636745846,0.017736141484157312,231280
xes3g5m,SAKT,Standard,2024,5,ok,0.5022097738620087,0.6924969893573923,0.16355590519557323,0.02170017955260719,222044,0.4972282742015133,0.6928614035807522,0.16153659527266556,0.01785327555300535,231280
