run_id,dataset,exposure,condition,seed,brier,ece
junyi_3_Standard_789,junyi,3,Standard,789,0.2150433295984752,0.1330684329201294
junyi_3_LLM-Mini_2024,junyi,3,LLM-Mini,2024,0.2081549502338652,0.1194210678642857
junyi_3_LLM-Mini_42,junyi,3,LLM-Mini,42,0.2045276691506093,0.1013755183916322
junyi_3_LLM-Mini_123,junyi,3,LLM-Mini,123,0.2141331961733572,0.1367007818898344
junyi_3_LLM-Mini_456,junyi,3,LLM-Mini,456,0.2107755326287093,0.1312154485552864
junyi_3_LLM-Mini_789,junyi,3,LLM-Mini,789,0.2161042527335339,0.1355734859965292
junyi_3_LLM-5.4_2024,junyi,3,LLM-5.4,2024,0.2080648553802288,0.1190016600115581
junyi_3_LLM-5.4_42,junyi,3,LLM-5.4,42,0.2052773531286952,0.1054486638386677
junyi_3_LLM-5.4_123,junyi,3,LLM-5.4,123,0.2156622034569532,0.1423278596993476
junyi_3_LLM-5.4_456,junyi,3,LLM-5.4,456,0.2105247325078011,0.1297732789451358
junyi_3_LLM-5.4_789,junyi,3,LLM-5.4,789,0.2169263277594462,0.1387995232972758
junyi_3_Random-Scalar_2024,junyi,3,Random-Scalar,2024,0.2082738738390907,0.1197282529167846
junyi_3_Random-Scalar_42,junyi,3,Random-Scalar,42,0.2030565179721361,0.0972110203291996
junyi_3_Random-Scalar_123,junyi,3,Random-Scalar,123,0.2119714759700184,0.1311242375323307
junyi_3_Random-Scalar_456,junyi,3,Random-Scalar,456,0.2113104875475699,0.1326545415596809
junyi_3_Random-Scalar_789,junyi,3,Random-Scalar,789,0.2151803723681515,0.1326596236764697
junyi_3_TrainEmpDiff_2024,junyi,3,TrainEmpDiff,2024,0.2079188047338294,0.1188738960833827
junyi_3_TrainEmpDiff_42,junyi,3,TrainEmpDiff,42,0.2058824980380425,0.1063581380500494
junyi_3_TrainEmpDiff_123,junyi,3,TrainEmpDiff,123,0.2164309814068351,0.1427129805348489
junyi_3_TrainEmpDiff_456,junyi,3,TrainEmpDiff,456,0.2100624949489377,0.1291447754818631
junyi_3_TrainEmpDiff_789,junyi,3,TrainEmpDiff,789,0.2174217298580027,0.1386491180778201
junyi_5_Standard_2024,junyi,5,Standard,2024,0.1940009326820242,0.0600250113362668
junyi_5_Standard_42,junyi,5,Standard,42,0.1950384946868785,0.0587519022617113
junyi_5_Standard_123,junyi,5,Standard,123,0.1960103661199605,0.0613844932387588
junyi_5_Standard_456,junyi,5,Standard,456,0.195600174041246,0.072875392655617
junyi_5_Standard_789,junyi,5,Standard,789,0.2020979330631589,0.077712162344673
junyi_5_LLM-Mini_2024,junyi,5,LLM-Mini,2024,0.1946079100374802,0.0630122636509272
junyi_5_LLM-Mini_42,junyi,5,LLM-Mini,42,0.1950080638850405,0.0563834276995097
junyi_5_LLM-Mini_123,junyi,5,LLM-Mini,123,0.2005184024867516,0.0864181917662933
junyi_5_LLM-Mini_456,junyi,5,LLM-Mini,456,0.1939672415315426,0.06210429347932
junyi_5_LLM-Mini_789,junyi,5,LLM-Mini,789,0.2021411709007063,0.0785139607522109
junyi_5_LLM-5.4_2024,junyi,5,LLM-5.4,2024,0.1946190255399796,0.0631463735673755
junyi_5_LLM-5.4_42,junyi,5,LLM-5.4,42,0.1951602987763856,0.0577677124324133
junyi_5_LLM-5.4_123,junyi,5,LLM-5.4,123,0.2010887385334478,0.089818757783558
junyi_5_LLM-5.4_456,junyi,5,LLM-5.4,456,0.1939846958198135,0.0617021538184463
junyi_5_LLM-5.4_789,junyi,5,LLM-5.4,789,0.2024558038515218,0.0807538850676867
junyi_5_Random-Scalar_2024,junyi,5,Random-Scalar,2024,0.1946103316919057,0.0628716178351859
junyi_5_Random-Scalar_42,junyi,5,Random-Scalar,42,0.1940008999700803,0.0542060617020779
junyi_5_Random-Scalar_123,junyi,5,Random-Scalar,123,0.1990374437467522,0.0814576303479255
junyi_5_Random-Scalar_456,junyi,5,Random-Scalar,456,0.1941649115624312,0.0628590611973199
junyi_5_Random-Scalar_789,junyi,5,Random-Scalar,789,0.2015702636164428,0.0757409250860833
junyi_5_TrainEmpDiff_2024,junyi,5,TrainEmpDiff,2024,0.1945758785830784,0.0630736583858911
junyi_5_TrainEmpDiff_42,junyi,5,TrainEmpDiff,42,0.1957746187795747,0.059025989571714
junyi_5_TrainEmpDiff_123,junyi,5,TrainEmpDiff,123,0.2018694954658753,0.0902874945793452
junyi_5_TrainEmpDiff_456,junyi,5,TrainEmpDiff,456,0.1937108483183523,0.0611173778533785
junyi_5_TrainEmpDiff_789,junyi,5,TrainEmpDiff,789,0.2030618056015873,0.0803614080020998
junyi_10_Standard_2024,junyi,10,Standard,2024,0.1853968878340527,0.0337652675537046
junyi_10_Standard_42,junyi,10,Standard,42,0.186073561769634,0.0468395294272307
junyi_10_Standard_123,junyi,10,Standard,123,0.1872534438910584,0.0348593282555957
junyi_10_Standard_456,junyi,10,Standard,456,0.1858939983649475,0.0381520107648073
junyi_10_Standard_789,junyi,10,Standard,789,0.1872430004801399,0.0261442211342944
junyi_10_LLM-Mini_2024,junyi,10,LLM-Mini,2024,0.1859277516629862,0.0343479282600736
junyi_10_LLM-Mini_42,junyi,10,LLM-Mini,42,0.186552496423235,0.0489642454336015
junyi_10_LLM-Mini_123,junyi,10,LLM-Mini,123,0.1877179764472585,0.0293936780031308
junyi_10_LLM-Mini_456,junyi,10,LLM-Mini,456,0.185546396170324,0.0337921557674286
junyi_10_LLM-Mini_789,junyi,10,LLM-Mini,789,0.1871764465528831,0.0271836372981073
junyi_10_LLM-5.4_2024,junyi,10,LLM-5.4,2024,0.1859261052702929,0.0342000295400766
junyi_10_LLM-5.4_42,junyi,10,LLM-5.4,42,0.186338229383603,0.0457517842962205
junyi_10_LLM-5.4_123,junyi,10,LLM-5.4,123,0.1876495411581009,0.0272825111256851
junyi_10_LLM-5.4_456,junyi,10,LLM-5.4,456,0.1855918994245727,0.0333289002455005
junyi_10_LLM-5.4_789,junyi,10,LLM-5.4,789,0.1870984425368444,0.0261409465259795
junyi_10_Random-Scalar_2024,junyi,10,Random-Scalar,2024,0.1859497516506899,0.0343403129681759
junyi_10_Random-Scalar_42,junyi,10,Random-Scalar,42,0.1861552326698172,0.0486256485120311
junyi_10_Random-Scalar_123,junyi,10,Random-Scalar,123,0.1871482845138008,0.0306199372498138
junyi_10_Random-Scalar_456,junyi,10,Random-Scalar,456,0.1856179919466404,0.0338289635964931
junyi_10_Random-Scalar_789,junyi,10,Random-Scalar,789,0.1871012870685411,0.0278615147968212
junyi_10_TrainEmpDiff_2024,junyi,10,TrainEmpDiff,2024,0.185852993320056,0.0349121263412901
junyi_10_TrainEmpDiff_42,junyi,10,TrainEmpDiff,42,0.1868427242344496,0.0443834956062249
junyi_10_TrainEmpDiff_123,junyi,10,TrainEmpDiff,123,0.1883603159466024,0.0208792734738684
junyi_10_TrainEmpDiff_456,junyi,10,TrainEmpDiff,456,0.1853578483815988,0.0344264835948854
junyi_10_TrainEmpDiff_789,junyi,10,TrainEmpDiff,789,0.1876227001567935,0.0233012033022658
junyi_20_Standard_2024,junyi,20,Standard,2024,0.1791760835543941,0.0433980965169546
junyi_20_Standard_42,junyi,20,Standard,42,0.1781814500480734,0.0371313139242201
junyi_20_Standard_123,junyi,20,Standard,123,0.1802152812427868,0.0358893281907508
junyi_20_Standard_456,junyi,20,Standard,456,0.1802217662406223,0.0327529393056717
junyi_20_Standard_789,junyi,20,Standard,789,0.1798510740318074,0.0429593911753219
junyi_20_LLM-Mini_2024,junyi,20,LLM-Mini,2024,0.1790651568699684,0.0429193307091031
junyi_20_LLM-Mini_42,junyi,20,LLM-Mini,42,0.1773122742290753,0.0382599382224048
junyi_20_LLM-Mini_123,junyi,20,LLM-Mini,123,0.1810363546278304,0.0305758155220391
junyi_20_LLM-Mini_456,junyi,20,LLM-Mini,456,0.1796758165563528,0.0270587347345169
junyi_20_LLM-Mini_789,junyi,20,LLM-Mini,789,0.179787268399224,0.0401850167959291
junyi_20_LLM-5.4_2024,junyi,20,LLM-5.4,2024,0.1790789601098314,0.0428326502729718
junyi_20_LLM-5.4_42,junyi,20,LLM-5.4,42,0.177394456889912,0.0376371825123073
junyi_20_LLM-5.4_123,junyi,20,LLM-5.4,123,0.1810767498143269,0.029836801043637
junyi_20_LLM-5.4_456,junyi,20,LLM-5.4,456,0.1797296551487392,0.0268074911498952
junyi_20_LLM-5.4_789,junyi,20,LLM-5.4,789,0.1798109263706508,0.0402185896615011
junyi_20_Random-Scalar_2024,junyi,20,Random-Scalar,2024,0.1791154784512514,0.042957259030481
junyi_20_Random-Scalar_42,junyi,20,Random-Scalar,42,0.1771232347929326,0.0379328360668235
junyi_20_Random-Scalar_123,junyi,20,Random-Scalar,123,0.1806064113458093,0.030528351967876
junyi_20_Random-Scalar_456,junyi,20,Random-Scalar,456,0.1797471421252416,0.0276822066928943
junyi_20_Random-Scalar_789,junyi,20,Random-Scalar,789,0.1797220956385266,0.0401266510389841
junyi_20_TrainEmpDiff_2024,junyi,20,TrainEmpDiff,2024,0.1788650781191756,0.0432963142813566
