run_id,dataset,exposure,condition,seed,status,mask_hash,split_hash,universe_hash,log_loss,brier,auc,accuracy,ece,n_predictions,best_val_log_loss,best_epoch,n_parameters,deployable,config_hash,code_commit,start_time_utc,wall_time_s
pilot_junyi_1_LLM-Mini_2024,junyi,1,LLM-Mini,2024,ok,16cbbc8c805aed55b7875ad47a6b877c77ef638f90c6e5615ba4ff462b6d2a70,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.6401052289479308,0.2238747322065429,0.5689399986593349,0.6970006121199755,0.153715724915637,4901.0,0.6499200661977133,6.0,12610.0,True,,,,
pilot_junyi_1_LLM-5.4_2024,junyi,1,LLM-5.4,2024,ok,16cbbc8c805aed55b7875ad47a6b877c77ef638f90c6e5615ba4ff462b6d2a70,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.6395330136535734,0.2235929477829772,0.5682261767728547,0.6982248520710059,0.1526076465303911,4901.0,0.649265726407369,6.0,12610.0,True,,,,
pilot_junyi_1_Random-Scalar_2024,junyi,1,Random-Scalar,2024,ok,16cbbc8c805aed55b7875ad47a6b877c77ef638f90c6e5615ba4ff462b6d2a70,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.6406268923155117,0.2241289081855867,0.5676776761586575,0.6931238522750459,0.1543104884162821,4901.0,0.6504229704538981,6.0,12610.0,True,,,,
pilot_junyi_1_TrainEmpDiff_2024,junyi,1,TrainEmpDiff,2024,ok,16cbbc8c805aed55b7875ad47a6b877c77ef638f90c6e5615ba4ff462b6d2a70,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.639561090835294,0.2236094663037576,0.5698752770262241,0.6982248520710059,0.1531345739860336,4901.0,0.64918980995814,6.0,12610.0,True,,,,
pilot_junyi_3_Standard_2024,junyi,3,Standard,2024,ok,0f3829e100fe8da60caf13142d0b10ddea5b034e1a2bb40b1b6830934acb24e0,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5959493333516622,0.2029965324504123,0.5887779344628642,0.7169965313201387,0.0673954361033814,4901.0,0.6076974272727966,6.0,12609.0,True,,,,
pilot_junyi_3_LLM-Mini_2024,junyi,3,LLM-Mini,2024,ok,0f3829e100fe8da60caf13142d0b10ddea5b034e1a2bb40b1b6830934acb24e0,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5969100940020846,0.2034154233225741,0.5924836806930662,0.7157722913691084,0.0727455605842268,4901.0,0.607083261013031,6.0,12610.0,True,,,,
pilot_junyi_3_LLM-5.4_2024,junyi,3,LLM-5.4,2024,ok,0f3829e100fe8da60caf13142d0b10ddea5b034e1a2bb40b1b6830934acb24e0,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5970552789254611,0.2034784080116516,0.5926332717696655,0.7157722913691084,0.0731533895376093,4901.0,0.6071698466936747,6.0,12610.0,True,,,,
pilot_junyi_3_Random-Scalar_2024,junyi,3,Random-Scalar,2024,ok,0f3829e100fe8da60caf13142d0b10ddea5b034e1a2bb40b1b6830934acb24e0,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5969408730698663,0.2034284298203962,0.5922512233568525,0.7157722913691084,0.0727376772162623,4901.0,0.6071301102638245,6.0,12610.0,True,,,,
pilot_junyi_3_TrainEmpDiff_2024,junyi,3,TrainEmpDiff,2024,ok,0f3829e100fe8da60caf13142d0b10ddea5b034e1a2bb40b1b6830934acb24e0,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.596845161563051,0.2033850026393014,0.5936644734867038,0.7157722913691084,0.0730132528882298,4901.0,0.6069674491882324,6.0,12610.0,True,,,,
pilot_junyi_5_Standard_2024,junyi,5,Standard,2024,ok,8f68b3145608bc405404d691086a4ddcb97897fd817713321a88b2a7ac85eae5,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5864040617969632,0.1988684594287948,0.6356761249351772,0.718628851254846,0.0610423681991875,4901.0,0.5961719552675883,6.0,12609.0,True,,,,
