dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
xes3g5m,10,brier,LLM-Mini,TrainEmpDiff,0.0014416415791226155,0.0008456477889550115,0.0020376353692902194,2.1202166797887245,5,0.009030419469457448,0.8849811080068299
xes3g5m,10,log_loss,LLM-5.4,TrainEmpDiff,0.004393695683454246,0.003323368590380165,0.005464022776528327,3.598164109006319,5,0.001295450467493004,0.14897680376169548
xes3g5m,10,auc,LLM-5.4,TrainEmpDiff,-0.012857249116703894,-0.015154974550496235,-0.010559523682911553,-4.904777824710343,5,0.00039267421416106543,0.046543281844384256
xes3g5m,10,brier,LLM-5.4,TrainEmpDiff,0.0015275880465622782,0.0010935311857745637,0.0019616449073499927,3.0847638675829825,5,0.002316128193320984,0.25245797307198725
xes3g5m,20,log_loss,LLM-Mini,Standard,-0.002262401949312287,-0.006052284120047687,0.0015274802214231124,-0.5232558871619283,5,0.30694259580886685,1.0
xes3g5m,20,auc,LLM-Mini,Standard,0.0034375190495646636,-0.0024348269103717664,0.009309865009501093,0.5131022287136996,5,0.315202449750152,1.0
xes3g5m,20,brier,LLM-Mini,Standard,-0.0009008372312703794,-0.0021712945105994905,0.00036962004805873167,-0.6215188916786922,5,0.23694943217249703,1.0
xes3g5m,20,log_loss,LLM-5.4,Standard,-0.0021006647118540166,-0.0060754775168284005,0.0018741480931203677,-0.4632443927640119,5,0.35878491514440597,1.0
xes3g5m,20,auc,LLM-5.4,Standard,0.003329425175590117,-0.003011480140117055,0.009670330491297289,0.4602443436349444,5,0.36157237461768005,1.0
xes3g5m,20,brier,LLM-5.4,Standard,-0.0008590768774493051,-0.0021843949746068194,0.00046624121970820914,-0.5681723545069773,5,0.272781153909938,1.0
xes3g5m,20,log_loss,LLM-Mini,Random-Scalar,0.0002748327507796633,1.5268950789151163e-05,0.0005343965507701755,0.9280700647977724,5,0.1065887166518875,1.0
xes3g5m,20,auc,LLM-Mini,Random-Scalar,-0.000618213864364514,-0.001313024183798982,7.6596455069954e-05,-0.7798984745469231,5,0.15611973273121793,1.0
xes3g5m,20,brier,LLM-Mini,Random-Scalar,8.738126362292097e-05,-6.109832708432066e-06,0.00018087235995427401,0.8191782661246991,5,0.14091482563491925,1.0
xes3g5m,20,log_loss,LLM-5.4,Random-Scalar,0.0004365699882379337,-0.00017135692554974275,0.0010444969020256102,0.6294588062494877,5,0.23202503954061524,1.0
xes3g5m,20,auc,LLM-5.4,Random-Scalar,-0.0007263077383390604,-0.0020659755265274196,0.0006133600498492989,-0.47521679818998536,5,0.34784929008548615,1.0
xes3g5m,20,brier,LLM-5.4,Random-Scalar,0.00012914161744399523,-7.834921343982779e-05,0.00033663244832781824,0.5455317537173981,5,0.28950840068859046,1.0
xes3g5m,20,log_loss,LLM-Mini,TrainEmpDiff,0.004767003816238879,0.0031381885030068095,0.006395819129470948,2.565324967280335,5,0.00457502631522094,0.4712277104677568
xes3g5m,20,auc,LLM-Mini,TrainEmpDiff,-0.010324084355554274,-0.013411573924026232,-0.007236594787082317,-2.931000426834186,5,0.0028026867260528636,0.30269016641370927
xes3g5m,20,brier,LLM-Mini,TrainEmpDiff,0.0015870508781036462,0.0010582152109934388,0.0021158865452138536,2.6304738108543955,5,0.004175185111231264,0.43839443667928274
xes3g5m,20,log_loss,LLM-5.4,TrainEmpDiff,0.0049287410536971495,0.0035872884964663534,0.006270193610927946,3.22054161582445,5,0.0019706982560191055,0.2167768081621016
xes3g5m,20,auc,LLM-5.4,TrainEmpDiff,-0.010432178229528822,-0.012911083951824288,-0.007953272507233355,-3.6887950100295046,5,0.0011783291521409176,0.13668618164834645
xes3g5m,20,brier,LLM-5.4,TrainEmpDiff,0.0016288112319247205,0.0011968617341041158,0.0020607607297453254,3.305217460461721,5,0.0017870945267643116,0.20015458699760288
xes3g5m,warm,log_loss,LLM-Mini,Standard,8.515708052743154e-05,-0.00030537144886453666,0.00047568560991939976,0.19113020231692068,5,0.691098213243908,1.0
xes3g5m,warm,auc,LLM-Mini,Standard,-0.00019747304657236064,-0.0008018671446869514,0.0004069210515422301,-0.2863863948201323,5,0.5567629933934745,1.0
xes3g5m,warm,brier,LLM-Mini,Standard,2.0941541085955916e-05,-0.00010030266530483789,0.0001421857474767497,0.151386558401764,5,0.7519839375654791,1.0
xes3g5m,warm,log_loss,LLM-5.4,Standard,0.0001158203537635405,-0.0003037258642027966,0.0005353665717298775,0.2419730910892864,5,0.6171780644171228,1.0
xes3g5m,warm,auc,LLM-5.4,Standard,-0.00023675056206999833,-0.0009338059568183836,0.00046030483267838694,-0.29770719721951205,5,0.5420259588554431,1.0
xes3g5m,warm,brier,LLM-5.4,Standard,3.0956230652051664e-05,-9.644802911315913e-05,0.00015836049041726246,0.21296356871862976,5,0.6587539114620102,1.0
xes3g5m,warm,log_loss,LLM-Mini,Random-Scalar,-5.6802881712159084e-05,-9.870264198653329e-05,-1.490312143778488e-05,-1.188061863469804,5,0.05655861644674786,1.0
xes3g5m,warm,auc,LLM-Mini,Random-Scalar,6.286944378848247e-05,-1.4896643861392968e-06,0.00012722855196310425,0.8561335672368614,5,0.1280604463020265,1.0
xes3g5m,warm,brier,LLM-Mini,Random-Scalar,-2.164628721768591e-05,-3.586756585227314e-05,-7.425008583098678e-06,-1.3333625170926402,5,0.040605033996683554,1.0
xes3g5m,warm,log_loss,LLM-5.4,Random-Scalar,-2.6139608476050126e-05,-9.802315375774951e-05,4.5743936805649255e-05,-0.3187041401015041,5,0.515383193098899,1.0
xes3g5m,warm,auc,LLM-5.4,Random-Scalar,2.3591928290844778e-05,-7.716053672706541e-05,0.00012434439330875495,0.20523009520061788,5,0.670102852068792,1.0
xes3g5m,warm,brier,LLM-5.4,Random-Scalar,-1.1631597651590165e-05,-3.4184709862231045e-05,1.0921514559050716e-05,-0.45189257082800177,5,0.3692658027074083,1.0
xes3g5m,warm,log_loss,LLM-Mini,TrainEmpDiff,0.00039726770957716485,0.0002360632570020307,0.000558472162152299,2.159999689380083,5,0.008460242675509263,0.8460242675509263
xes3g5m,warm,auc,LLM-Mini,TrainEmpDiff,-0.000501534461855524,-0.0007057651416718123,-0.0002973037820392356,-2.1524458131607176,5,0.008565183244233186,0.8479531411790855
xes3g5m,warm,brier,LLM-Mini,TrainEmpDiff,0.00014049266452234032,9.128698516125122e-05,0.0001896983438834294,2.502258244114751,5,0.005004375358868629,0.5104462866046002
xes3g5m,warm,log_loss,LLM-5.4,TrainEmpDiff,0.0004279309828132738,0.00035256349987191536,0.0005032984657546322,4.9763427217831815,5,0.0003709750719235776,0.04469859799464353
xes3g5m,warm,auc,LLM-5.4,TrainEmpDiff,-0.0005408119773531617,-0.0006373623418216431,-0.00044426161288468034,-4.909350360964544,5,0.00039112001549902736,0.046543281844384256
xes3g5m,warm,brier,LLM-5.4,TrainEmpDiff,0.00015050735408843606,0.00012505559307716442,0.0001759591150997077,5.181570501818027,5,0.0003166040034501977,0.03894229242437432
junyi,0,log_loss,LLM-Mini,Standard,0.007324900928363065,-0.01566989924046012,0.030319701097186253,0.2792177473117569,5,0.5662421966830576,1.0
junyi,0,auc,LLM-Mini,Standard,-0.001136433419119176,-0.003285612582579368,0.0010127457443410157,-0.46349032508261434,5,0.3585564800845109,1.0
junyi,0,brier,LLM-Mini,Standard,0.003557782010434357,-0.007698380086211275,0.01481394410707999,0.27705100327734206,5,0.5691269828755005,1.0
junyi,0,log_loss,LLM-5.4,Standard,0.00886528027477016,-0.016386990635270875,0.0341175511848112,0.30772511942671915,5,0.5292198665161689,1.0
junyi,0,auc,LLM-5.4,Standard,0.0004145602870738063,-0.0017724503715831855,0.002601570945730798,0.16615221118354861,5,0.7290862267642845,1.0
junyi,0,brier,LLM-5.4,Standard,0.004301953224900473,-0.008036466576391042,0.016640373026191986,0.30561657342405046,5,0.5318979892139521,1.0
junyi,0,log_loss,LLM-Mini,Random-Scalar,0.001756813047566319,-0.001849080618521057,0.005362706713653695,0.4270538544306638,5,0.39369198050795506,1.0
